LIN28B_CB2_rRNA	LIN28B_CB2	PURA_abcam_trim	PURA_bethyl_trim
11	4	0	0
53	21	0	1
32	26	0	6
31	5	0	0
28	16	0	0
23	7	0	0
105	0	0	0
6	6	0	0
52	7	0	1
25	25	0	7
40	10	0	4
74	8	0	2
30	10	0	2
9	9	0	0
70	12	0	1
144	92	0	11
94	45	0	0
88	17	0	3
83	22	0	1
88	7	0	0
48	44	0	2
16	7	0	0
13	2	0	3
22	14	1	0
20	4	0	3
24	18	0	7
119	15	0	16
2	2	1	0
0	0	1	0
0	0	1	0
28	15	0	7
37	7	0	6
45	23	0	3
494	345	1	37
36	3	0	0
37	7	0	1
23	11	0	0
0	0	0	0
0	0	1	0
2	2	1	12
0	0	1	0
0	0	8	3
7	6	1	0
87	21	0	1
151	116	0	70
0	0	1	0
18	4	0	0
13	13	0	9
194	22	0	18
0	0	1	0
10	6	0	0
10	10	0	0
283	137	1	9
107	76	0	24
43	13	0	1
926	107	1	7
141	90	0	7
14	11	0	10
97	23	0	0
24	14	0	1
0	0	1	0
9	2	1	1
5	5	0	0
1513	717	1	131
221	152	0	76
154	16	0	5
70	21	0	1
19	7	0	0
95	15	0	15
64	6	1	9
68	8	0	1
80	62	0	19
308	294	0	58
120	88	1	15
415	111	0	17
16	10	0	1
546	44	0	11
2278	446	0	76
319	214	3	27
65	15	0	1
404	110	0	3
20	2	1	0
83	36	0	3
11	11	0	0
24	16	0	6
17	3	0	1
120	55	0	26
16	16	0	1
3	3	0	0
5	0	1	0
0	0	1	0
15	7	0	3
0	0	1	1
1	1	4	0
26	8	0	1
0	0	1	0
25	25	0	21
45	18	0	38
12	12	0	7
36	9	0	0
410	122	0	51
35	13	0	2
22	5	0	0
59	25	0	1
49	17	0	0
70	27	0	5
96	63	0	5
49	15	0	0
13	6	0	2
0	0	1	0
13	4	0	1
141	70	1	450
23	14	0	22
13	12	0	0
108	37	0	0
98	39	0	1
94	18	0	0
86	35	1	0
20	20	0	0
27	5	0	0
182	72	0	0
7	7	0	0
16	7	0	2
599	159	0	11
0	0	1	0
0	0	2	0
0	0	1	0
0	0	2	0
16	3	0	0
13	4	1	5
14	5	0	1
104	14	0	2
0	0	1	0
111	88	1	59
16	12	0	0
20	15	0	5
32	6	0	1
3	3	0	3
27	22	0	2
11	8	0	65
0	0	1	0
0	0	1	0
0	0	2	0
0	0	1	0
10	9	0	0
13	1	2	3
23	23	0	6
25	7	0	1
23	6	0	1
8	8	0	1
122	10	0	1
381	345	0	89
20	9	0	6
20	9	1	0
60	14	0	0
37	3	0	1
114	36	1	12
5	5	0	0
136	88	0	46
6	6	1	1
8	3	0	0
931	292	0	132
2	2	0	0
59	10	0	0
30	22	0	12
49	49	0	18
4	2	1	0
25	9	0	2
6	6	0	0
38	13	0	0
49	42	0	12
17	17	0	2
1	1	0	0
10	6	0	0
31	5	0	5
11	4	0	0
11	7	0	0
33	9	0	3
74	37	0	2
29	7	0	5
7	7	0	0
47	13	0	1
22	5	0	0
21	6	0	5
53	18	0	5
12	9	0	0
55	40	1	25
24	8	0	0
25	18	0	1
1	1	0	0
46	7	0	0
4	4	1	0
7	7	0	1
9	9	0	10
32	6	0	0
24	8	0	0
5	5	0	0
42	8	0	6
0	0	2	0
78	8	0	2
33	16	0	5
10	4	0	2
39	13	0	5
0	0	1	0
92	19	0	10
21	11	0	2
22	2	0	6
0	0	1	0
161	135	0	26
2	1	1	0
0	0	1	0
0	0	1	0
11	11	0	14
3	3	0	3
108	56	0	24
125	54	2	7
37	24	0	5
20	8	0	9
3611	340	0	109
201	14	0	1
386	76	1	34
37	35	0	22
93	77	0	67
53	12	0	0
0	0	1	0
0	0	1	0
1	1	1	2
12	12	0	0
1	1	2	0
7	7	0	0
0	0	1	0
134	46	1	13
462	238	1	77
14	2	0	0
37	15	0	4
24	11	0	0
789	175	0	26
1135	374	0	50
895	316	2	52
0	0	0	0
4251	2960	3	655
333	75	0	6
104	34	0	1
21	13	0	3
0	0	1	0
24	10	0	0
63	26	0	6
134	93	0	134
124	29	0	40
31	2	0	9
17	17	0	19
9	6	0	5
35	35	1	42
0	0	1	0
11	11	1	15
61	39	0	49
21	12	0	13
37	12	0	0
9	8	0	0
11	11	0	3
5	5	1	0
55	13	0	5
2	2	0	2
18	4	0	1
15	6	0	2
0	0	1	0
27	8	0	1
45	4	0	2
46	9	0	0
144	56	0	7
9	8	0	0
73	49	0	4
5	5	0	0
8	8	0	3
7	7	0	0
152	44	0	0
11	11	0	0
17	17	0	0
55	29	0	1
302	50	0	0
17	17	0	0
0	0	1	0
80	23	0	6
768	715	1	49
39	17	0	0
163	36	0	4
1341	819	2	145
12	2	0	0
2193	1979	2	122
51	33	0	1
73	29	0	1
13	13	0	0
552	294	0	40
39	11	0	0
327	219	1	22
41	10	0	0
59	18	0	0
103	41	0	2
87	33	0	7
17	17	0	3
9	9	0	0
9	9	0	1
0	0	2	0
6	6	0	0
1	1	1	0
22	5	0	0
6	6	0	0
15	5	0	0
9	8	0	0
7	7	1	0
36	3	0	0
1	1	0	0
15	6	0	0
14	5	0	0
13	5	0	0
0	0	1	0
0	0	1	0
0	0	1	0
0	0	1	0
29	8	0	1
30	12	0	0
14	7	0	0
22	21	0	2
12	7	0	3
40	28	0	7
86	39	0	11
143	72	0	32
64	24	0	0
7	7	0	0
0	0	1	0
0	0	1	0
1	1	2	25
0	0	1	0
15	11	0	2
867	592	2	175
28	9	0	0
32	4	0	0
61	9	0	11
69	20	0	12
130	35	0	16
301	173	0	83
98	54	1	14
24	24	0	32
7	7	0	4
9	9	0	0
182	82	0	50
17	17	1	24
0	0	1	0
48	19	0	13
5	5	0	0
83	33	0	6
2875	1813	5	364
110	69	0	15
93	35	0	5
13	7	0	2
668	48	0	81
32	3	0	4
281	31	0	6
7	7	0	1
10	7	1	9
9	9	0	5
16	4	0	0
18	4	0	0
0	0	1	0
0	0	1	0
0	0	2	0
14	10	1	2
60	41	0	30
2	1	5	0
163	16	0	24
143	15	4	81
13	13	0	2
25	10	0	3
259	103	0	68
36	10	0	8
15	9	0	4
26	11	0	1
12	10	0	10
11	5	0	0
7	7	0	4
6	6	0	0
260	41	0	7
0	0	1	0
15	12	0	3
0	0	1	0
14	14	0	2
9	9	0	5
101	21	0	0
42	10	0	1
0	0	1	0
12	5	2	15
34	17	0	2
167	25	0	8
93	62	0	3
4760	2845	7	1123
3452	2168	7	990
171	45	0	10
94	50	0	146
192	42	0	7
50	28	0	6
488	79	0	37
52	30	0	10
27	8	0	0
0	0	1	0
44	44	0	0
112	46	0	9
721	592	3	821
541	468	1	623
1	1	1	0
0	0	1	0
0	0	1	0
0	0	1	0
0	0	1	0
11	11	0	8
0	0	2	0
2	0	1	0
12	12	0	2
30	8	0	7
17	12	0	3
295	127	0	81
337	310	2	324
28	2	0	0
1290	82	3	61
1208	358	0	25
0	0	1	0
1177	65	0	3
755	322	1	48
14	14	0	0
29	16	0	0
14	5	0	2
7	4	1	0
7	7	0	0
1165	261	1	30
258	111	0	21
87	18	0	0
529	345	1	36
196	172	0	12
15	3	0	1
13	13	1	2
26	10	0	0
21	5	0	0
45	23	0	0
30	3	1	2
19	19	0	5
13	6	0	5
54	8	0	0
236	33	1	1
68	5	0	0
0	0	3	1
12	5	0	0
105	43	0	39
552	380	3	106
220	103	0	102
35	2	0	1
94	45	0	0
1	1	0	0
21	8	0	0
16	9	0	0
7	7	0	5
57	26	1	59
0	0	2	0
25	5	0	2
6	6	0	2
0	0	1	0
416	42	0	7
176	77	0	42
100	15	0	0
168	36	0	5
31	16	0	3
45	7	0	2
199	166	0	44
53	22	0	2
26	5	0	1
83	52	0	5
0	0	1	0
0	0	1	0
1	0	1	0
13	4	0	0
11	7	0	1
12	12	0	0
41	6	0	1
7	2	0	0
29	9	0	0
99	28	0	1
9	0	1	0
18	18	0	10
107	60	0	11
15	5	1	0
186	84	1	18
28	9	0	1
160	22	0	21
1	1	2	0
14	4	0	0
23	4	0	0
16	6	0	0
0	0	1	0
0	0	1	1
35	34	1	5
87	34	0	7
19	8	0	1
14	5	0	0
0	0	1	0
220	170	1	47
30	6	0	2
39	7	0	2
0	0	1	2
21	8	0	1
13	6	0	0
22	19	0	8
0	0	1	1
46	15	0	0
4	1	1	3
12	9	0	4
0	0	1	0
0	0	1	0
160	106	0	144
58	36	0	30
19	19	0	3
193	87	0	37
0	0	1	0
0	0	0	0
33	7	0	22
34	5	0	0
17	17	0	10
0	0	1	0
0	0	2	0
51	41	0	11
1103	915	5	458
0	0	0	0
45	23	0	9
0	0	1	0
11	11	0	6
1	0	1	0
0	0	1	0
14	10	0	13
14	14	0	7
204	15	0	7
301	111	0	28
12	8	0	6
11	5	0	0
94	15	0	3
34	18	0	20
8	8	0	3
12	7	0	2
56	27	0	2
20	14	0	3
343	197	0	85
16	6	0	20
42	8	0	1
65	18	0	0
6	6	1	0
0	0	1	0
5	4	0	1
9	3	0	0
26	6	0	2
347	109	0	19
5	5	0	0
20	5	0	0
32	17	0	1
15	5	0	0
4	4	0	0
87	29	0	6
0	0	1	0
245	173	1	58
237	227	0	74
235	235	0	81
133	100	0	91
94	60	0	26
88	6	0	0
54	42	0	6
241	81	0	12
1408	611	0	129
199	55	0	5
26	8	0	6
0	0	4	0
0	0	1	2
0	0	3	5
18	10	0	3
0	0	1	0
32	20	0	26
11	9	0	0
55	54	0	9
28	3	0	1
186	96	0	58
28	3	0	0
15	6	0	0
165	45	0	7
270	141	0	45
0	0	1	0
57	34	1	0
58	7	0	5
18	7	0	5
16	9	0	1
38	8	0	3
9	9	0	18
15	10	0	3
130	72	20	16
606	397	60	165
7	7	0	1
19	13	0	13
55	11	0	1
55	16	0	11
8	6	0	0
40	11	0	1
10	3	0	25
244	186	34	1197
137	32	8	11
26	10	0	4
19	8	0	0
196	35	16	251
20	20	0	6
227	51	0	39
12	3	0	2
27	13	0	8
6	6	0	23
0	0	1	0
30	24	0	2
59	14	0	2
0	0	1	0
286	155	0	20
1193	763	3	108
3052	1096	1	116
9	4	0	0
172	24	0	1
8	8	0	0
11	10	0	0
171	74	0	0
19	19	0	0
1364	1032	0	102
54	21	0	5
30	16	0	5
69	23	0	0
400	182	0	15
28	28	0	4
114	12	0	0
196	39	0	4
375	13	0	3
23	18	0	4
42	23	0	2
0	0	1	0
2805	2106	4	746
280	189	2	104
6	6	0	1
290	63	0	32
23	5	0	0
19	6	1	0
11	3	0	3
6	0	1	0
7	7	0	3
226	25	0	14
30	25	0	2
0	0	1	0
544	424	0	100
21	8	0	1
230	37	0	18
0	0	1	1
0	0	1	0
0	0	1	0
0	0	0	0
0	0	1	0
6	6	0	0
41	8	0	0
7	3	0	0
17	13	0	0
46	9	0	7
0	0	1	1
7	5	0	0
7	7	0	0
437	360	0	133
39	39	0	7
46	23	0	15
7	7	0	3
4	4	0	2
88	64	0	28
1	1	1	0
6	6	0	2
8	2	0	2
7	7	0	1
10	6	0	0
83	67	0	36
0	0	1	0
0	0	1	0
48	26	0	0
336	95	0	80
76	76	2	119
0	0	2	0
9	9	0	0
0	0	1	4
23	4	1	6
61	13	0	24
11	11	0	2
97	12	0	6
5	5	1	3
76	47	1	30
0	0	1	1
21	21	0	15
11	7	0	4
66	62	0	70
191	46	1	16
22	20	0	2
0	0	1	0
333	216	0	156
6	6	0	0
174	74	0	29
173	40	0	62
183	160	2	114
34	7	0	3
52	17	0	3
20	20	0	1
23	12	0	2
170	35	0	5
489	243	0	83
88	63	0	20
10	10	0	1
17	6	0	0
48	36	0	8
34	9	0	4
24	6	0	6
32	7	0	0
47	3	0	16
0	0	1	0
22	15	0	0
228	18	0	2
22	19	0	3
22	9	0	0
17	4	0	0
32	9	0	1
551	381	2	393
8	8	1	0
55	30	0	1
6	5	0	0
365	55	0	15
17	7	0	0
44	29	0	8
31	17	0	1
19	8	0	6
0	0	1	0
0	0	1	0
69	19	0	1
862	431	1	150
850	223	2	137
32	16	0	9
11	11	0	1
20	3	0	0
0	0	1	1
0	0	1	0
386	57	1	19
179	31	0	31
11	11	0	5
13	11	0	0
72	14	0	4
6	6	0	15
398	249	3	248
55	34	0	26
0	0	1	1
17	17	0	5
51	2	0	0
12	12	0	0
36	7	0	0
28	9	0	1
31	28	0	14
64	57	0	117
44	30	0	6
11	8	0	4
11	7	0	1
0	0	1	0
30	27	0	13
33	15	0	2
8	8	0	15
161	26	0	5
0	0	1	0
0	0	1	0
2	2	1	3
14	2	0	3
0	0	1	0
0	0	2	0
0	0	1	0
14	14	0	3
26	3	0	7
7	7	0	3
108	7	0	5
27	24	0	2
39	9	0	1
6	3	0	0
1	1	2	0
7	7	0	5
26	6	0	1
456	228	1	290
214	107	0	17
9	9	0	1
186	147	0	90
7814	5152	8	1884
11258	5564	6	3194
2192	1867	10	1519
141	116	0	30
110	62	0	41
23	7	0	2
14	7	0	2
0	0	1	1
23	7	0	3
24	24	0	13
57	18	0	4
58	43	0	20
1061	100	0	16
129	26	0	1
18	12	0	8
14	14	0	8
15	6	0	3
0	0	1	0
51	40	0	16
19	1	0	1
9	6	0	2
16	5	0	1
8	8	0	3
98	45	0	0
240	33	0	2
661	184	0	2
188	59	0	4
61	27	1	2
122	47	0	0
0	0	1	2
1	1	0	0
268	177	0	16
166	166	0	9
24	8	0	0
291	139	0	43
107	105	0	26
8	6	0	0
24	16	0	2
67	56	0	10
6	6	0	0
162	117	0	22
3381	2396	4	241
8	8	0	0
261	99	0	21
51	4	0	0
38	38	0	5
374	193	0	38
332	228	0	58
100	42	0	18
23	12	0	0
0	0	1	0
41	8	0	0
173	18	0	10
10	10	0	0
0	0	1	0
6	6	0	0
3	3	1	0
0	0	1	6
90	7	0	2
33	10	0	1
75	13	0	10
153	45	0	10
177	49	0	4
45	19	0	3
1	1	1	0
23	23	1	2
7	7	0	0
8	8	0	5
77	45	0	18
15	15	0	2
13	13	0	11
44	32	0	72
427	330	2	339
57	6	0	6
216	161	0	80
17	8	0	7
3079	2447	7	1076
109	33	0	15
509	98	1	99
47	38	1	51
0	0	3	0
0	0	1	0
54	12	0	18
2	0	1	0
67	8	0	11
18	12	0	5
42	1	0	0
0	0	1	0
14	4	0	5
6	6	0	2
11	11	0	7
7	7	0	1
5	5	0	4
17	17	0	0
23	9	0	0
24	13	0	0
9	7	0	0
1	1	1	0
0	0	0	0
0	0	1	0
0	0	1	0
0	0	1	0
75	13	0	0
1	1	0	2
28	8	0	0
2	2	0	1
14	10	1	7
45	26	0	6
135	115	0	31
264	56	0	33
23	21	0	3
171	60	0	107
373	239	0	242
498	393	1	413
298	143	0	107
103	13	0	14
