LIN28B_CB2_rRNA	LIN28B_CB2	PURA_abcam_trim	PURA_bethyl_trim
0	0	2	0
108	16	0	7
13	9	0	21
101	70	0	30
75	8	0	0
44	10	0	1
36	25	0	10
0	0	2	1
5	5	0	0
0	0	2	0
7	7	0	0
7	6	1	0
0	0	1	0
0	0	1	0
0	0	1	0
0	0	1	0
9	9	0	0
13	6	0	0
9	8	0	0
16	8	0	0
56	5	0	0
38	17	1	3
7	7	0	0
11	6	0	0
13	6	0	0
25	4	0	0
111	49	0	0
104	6	0	0
288	212	0	4
69	17	0	3
45	19	0	6
146	103	0	52
15	15	0	0
58	40	0	8
41	16	0	4
38	13	0	1
94	11	0	4
0	0	1	0
240	103	1	5
30	5	0	0
22	11	0	1
65	18	0	0
9	9	0	5
15	9	0	0
327	173	1	72
57	24	0	2
3	3	0	2
20	5	0	5
537	356	0	48
18	18	0	1
16	14	0	1
476	348	2	61
53	14	0	0
86	50	0	12
32	19	0	3
7	7	0	0
799	112	0	52
135	32	0	4
9	7	0	2
117	34	0	3
104	24	0	8
17	17	0	5
315	195	1	43
11	11	0	4
200	16	0	7
621	87	0	15
386	107	0	62
338	157	0	32
841	534	2	389
1470	881	0	205
51	32	0	20
445	63	1	54
533	330	1	60
798	579	3	102
4687	652	2	80
931	86	0	19
410	70	0	26
452	318	0	143
437	247	1	53
558	284	1	66
2570	1345	7	929
100	76	0	8
182	52	0	12
104	67	0	3
47	17	0	0
427	61	0	15
10	10	0	2
118	16	0	6
110	48	0	14
16	11	0	9
34	12	0	12
26	3	0	0
5	5	0	0
86	14	0	0
2	2	3	1
0	0	1	0
36	11	0	0
6	6	0	0
0	0	1	0
18	5	0	0
23	12	0	0
9	9	0	0
12	12	0	2
32	22	0	5
0	0	1	0
56	25	0	8
235	79	3	43
10	2	0	1
496	444	0	53
820	241	0	69
1160	170	0	58
13	4	0	1
26	3	0	3
15	7	0	1
215	84	0	3
206	150	0	55
9	9	0	0
164	5	0	9
2	2	1	6
28	7	0	0
7	7	0	0
5	5	0	0
8	8	0	0
212	27	0	3
12	10	0	4
7	7	0	4
21	21	0	0
196	43	0	0
15	15	0	1
30	30	0	0
6	6	0	6
0	0	1	0
22	19	0	13
7	7	0	4
9	9	0	3
11	7	0	6
88	65	0	25
3	0	0	0
0	0	2	1
34	6	0	0
24	24	0	0
14	10	0	2
51	3	0	5
15	15	9	8
98	20	8	3
2	1	1	0
6	6	0	0
28	7	0	1
53	12	0	0
6	6	0	0
7	7	0	0
20	7	0	0
5	5	0	0
0	0	1	0
0	0	1	0
0	0	1	0
1	0	1	0
50	23	0	1
0	0	2	0
0	0	1	0
168	24	1	16
106	17	0	17
119	119	0	94
16	11	0	3
0	0	1	0
0	0	2	5
0	0	1	0
2	1	1	0
39	14	0	4
43	7	0	4
1	1	1	0
16	0	1	0
0	0	1	0
6	6	0	0
8	8	0	0
3	3	1	1
13	4	0	0
27	6	0	3
11	11	0	16
0	0	1	0
0	0	1	0
15	15	0	0
9	9	0	0
51	12	0	0
16	16	0	2
31	31	0	0
14	5	0	3
55	9	0	0
37	12	0	0
0	0	1	0
41	20	0	2
10	10	0	1
10	10	0	0
14	7	0	1
14	14	0	5
0	0	1	0
3	0	1	0
53	51	0	9
6	6	0	0
13	6	0	1
57	16	0	8
25	4	0	1
16	10	0	0
0	0	1	0
16	9	0	0
55	17	0	0
47	12	0	12
95	46	0	5
29	3	0	0
0	0	1	0
0	0	1	1
1309	91	0	26
628	304	0	151
128	68	0	2
64	21	0	0
75	22	2	9
268	130	0	81
199	60	0	15
51	2	0	4
126	66	0	47
304	230	0	121
25	12	0	5
466	89	0	35
73	27	0	1
15	10	0	1
46	19	0	1
17	15	0	16
55	11	0	4
58	5	0	0
0	0	1	0
12	4	0	0
7	7	0	4
0	0	2	0
0	0	1	0
40	6	0	11
27	21	0	7
13	13	0	5
14	7	0	0
116	21	0	0
38	10	0	1
12	12	0	0
6	5	0	0
46	16	0	0
37	37	0	1
84	12	0	2
47	6	0	0
21	15	0	0
5	5	0	0
0	0	1	0
12	12	0	0
346	52	0	9
22	8	0	0
66	3	0	0
16	8	0	0
16	2	0	1
133	125	0	7
59	20	0	0
52	14	0	2
47	7	0	2
18	6	0	0
10	10	0	28
10	7	0	2
41	13	0	6
84	48	0	13
185	97	0	62
124	14	0	4
3	3	1	1
0	0	1	5
28	23	0	13
0	0	1	0
18	18	0	24
13	13	0	13
149	17	0	20
9	9	0	2
0	0	1	0
55	26	0	1
40	11	0	2
19	7	0	0
35	22	0	6
12	12	0	1
52	5	0	0
140	35	0	2
35	9	0	0
63	48	0	4
72	11	0	0
989	248	0	17
32	28	0	0
14	7	0	0
2273	906	2	97
204	62	0	2
479	188	0	29
421	90	0	12
45	25	0	1
102	41	0	0
5	5	0	0
331	175	0	22
301	208	0	40
97	48	0	5
28	5	0	0
23	10	0	1
13	13	0	5
14	4	0	4
32	22	0	9
8	8	0	4
0	0	1	0
2	2	0	237
0	0	2	4
57	39	0	19
0	0	1	0
34	19	0	4
11	5	0	0
0	0	1	0
91	12	0	3
26	6	0	2
10	3	0	1
23	23	0	5
0	0	5	3
0	0	1	0
33	15	0	4
15	12	0	1
73	28	0	8
23	11	0	0
223	37	0	13
21	5	0	12
0	0	1	0
3	3	0	0
73	16	0	5
30	21	0	0
9	9	0	7
141	25	0	2
85	13	0	2
0	0	1	0
0	0	0	58
0	0	0	31
2	2	2	0
47	3	0	0
58	39	0	3
17	9	0	1
11	10	0	0
519	401	0	310
0	0	1	0
661	600	0	218
0	0	1	0
13	4	0	0
21	8	0	0
5	5	0	2
62	17	0	2
0	0	1	0
2886	372	2	120
100	66	0	16
1042	183	2	87
386	71	0	6
61	23	0	9
46	9	0	2
96	37	0	15
34	17	0	7
642	462	0	131
26	1	0	0
16	16	0	3
166	46	0	17
66	33	0	2
102	13	0	4
34	15	0	0
30	16	0	4
167	67	0	8
70	13	0	1
75	16	0	3
23	14	0	11
90	74	0	38
3	3	0	0
22	12	0	0
13	7	0	0
21	12	0	0
6	6	0	0
21	21	0	5
12	6	0	0
49	32	0	4
25	18	0	7
38	32	0	12
13	10	0	3
11	11	0	0
26	6	0	0
5	0	1	0
33	10	0	0
16	13	0	0
65	14	0	0
0	0	1	0
0	0	3	0
44	33	0	13
632	244	1	198
1813	1149	8	1352
293	243	0	118
60	19	0	2
10	6	0	2
36	9	0	3
9	4	0	0
54	12	1	1
264	189	0	254
209	78	0	27
518	420	2	491
162	37	0	23
588	268	0	175
21	4	0	17
91	59	0	45
6	6	0	0
31	16	0	5
0	0	1	0
50	13	0	7
25	12	0	3
0	0	1	0
1246	181	2	89
49	11	0	3
8	5	1	0
26	7	0	0
15	4	0	0
0	0	2	0
17	1	0	0
3	3	0	0
7	7	0	6
48	8	0	25
10	0	2	0
32	11	0	3
19	17	0	9
250	176	0	18
116	40	0	6
63	21	0	3
130	111	0	13
33	21	0	20
117	8	0	20
52	2	0	12
1	1	1	0
6	6	0	1
0	0	1	0
17	14	0	22
13	7	0	1
0	0	1	1
553	155	0	23
12	6	0	0
5	4	0	0
15	6	0	0
0	0	1	0
13	9	0	9
361	293	0	283
0	0	1	1
680	150	0	33
176	47	0	9
0	0	1	0
37	10	0	1
27	4	0	0
5	5	0	0
20	14	0	4
115	30	0	5
9	9	0	0
0	0	1	0
12	5	0	10
59	57	0	104
120	23	0	66
93	71	2	43
17	17	0	4
0	0	1	0
36	32	0	28
6	6	0	0
0	0	1	0
3893	3302	3	1112
0	0	1	0
7	7	0	1
11	11	0	1
16	16	0	11
9	9	0	0
13	13	0	0
11	5	1	3
1	1	2	2
40	6	0	0
87	48	0	26
46	33	0	30
74	38	0	50
30	4	0	0
35	11	0	0
28	22	1	6
76	50	2	23
15	12	0	3
0	0	1	0
5	5	0	1
1	1	1	2
3	3	1	1
28	12	0	0
50	36	0	6
140	99	0	25
54	5	0	0
4	4	1	0
22	7	0	3
19	4	0	0
200	120	0	56
0	0	2	0
27	27	0	38
0	0	1	0
0	0	1	0
7	7	0	3
179	148	1	50
48	41	0	23
10	6	0	0
15	7	0	3
342	45	0	6
10	10	0	5
27	8	0	11
5	5	0	0
15	15	0	8
0	0	1	4
21	4	0	0
12	8	0	0
11	11	0	0
37	21	0	0
16	16	0	0
7	7	0	4
26	7	0	0
148	56	0	1
14	5	0	0
16	9	0	0
102	23	0	0
52	11	0	3
16	7	0	0
45	7	0	0
180	29	0	0
42	11	0	11
43	8	0	12
24	13	0	0
4	0	1	0
20	15	0	2
13	7	0	0
20	16	0	0
22	10	1	4
58	5	0	1
29	3	0	0
26	18	0	1
25	13	0	0
10	3	0	0
10	10	0	0
55	30	0	6
55	34	0	0
53	16	0	2
20	20	0	9
659	178	0	21
13	6	0	2
10	5	0	0
78	27	0	4
534	170	1	36
635	143	2	11
39	26	0	1
51	26	0	16
8047	6551	3	679
35	9	0	2
933	421	1	195
376	266	0	60
196	28	0	12
13	4	1	0
48	4	0	4
14	14	0	8
371	282	0	51
392	229	0	9
97	47	0	11
15	15	0	0
68	10	0	3
56	5	0	0
16	11	0	0
35	4	0	0
161	152	0	35
51	30	0	14
917	96	0	12
133	51	0	12
34	10	0	1
8	8	0	1
0	0	1	0
35	25	0	11
6	6	0	1
44	10	0	5
14	14	0	9
19	10	1	0
43	15	0	0
89	46	0	7
0	0	1	0
1	1	0	0
28	9	0	2
3	3	0	1
8	8	0	2
43	9	0	4
15	7	0	3
43	3	0	0
27	6	0	0
30	13	0	0
9	9	0	2
5	5	0	0
0	0	1	0
0	0	1	2
0	0	2	0
0	0	2	0
16	6	0	9
19	19	0	10
6	6	0	0
323	219	0	200
681	455	0	363
0	0	1	1
26	16	0	1
16	6	0	1
2	2	0	1
0	0	2	0
15	7	0	0
152	54	0	16
97	25	1	24
16	7	0	6
30	13	0	10
1	1	1	0
84	32	1	20
9	9	0	0
62	48	3	3
23	20	0	0
145	91	0	3
24	10	0	0
1	1	2	1
0	0	1	0
20	7	0	2
17	10	0	9
32	20	0	29
14	8	0	0
14	6	0	0
36	27	0	3
60	33	0	1
20	16	0	5
494	41	1	26
75	3	0	1
17	17	0	0
17	13	0	0
4	0	1	0
27	13	0	33
39	5	0	1
1	1	0	1
6	6	0	3
0	0	1	0
95	45	1	3
35	23	0	3
44	19	0	2
56	10	0	0
18	4	0	0
17	3	0	0
22	8	0	0
58	14	0	0
324	129	1	6
1952	1367	4	54
154	6	0	0
0	0	1	0
9	9	0	3
72	25	0	2
14	6	0	2
18	18	1	7
30	13	0	3
32	8	0	4
0	0	1	0
0	0	1	0
6	6	0	0
5	5	0	0
19	13	0	1
52	8	0	0
9	9	0	1
13	13	0	16
16	16	0	6
36	11	0	8
57	15	0	1
693	82	0	26
33	31	0	19
198	92	1	3
24	13	0	0
139	57	0	2
135	30	0	0
594	140	0	4
7	7	0	4
137	8	0	1
45	33	0	1
2299	1775	3	420
61	6	0	2
33	9	0	6
184	45	0	24
12	3	0	2
42	10	0	6
27	6	0	0
18	11	0	0
35	9	0	1
297	237	2	146
0	0	1	0
181	17	0	16
12	3	0	2
15	15	0	1
497	35	0	32
416	150	0	159
78	24	0	8
164	101	0	114
10	10	0	10
22	14	0	5
2610	1833	4	1232
37	27	0	11
41	21	1	41
12	12	0	4
13	5	0	3
43	18	0	1
29	20	0	2
61	22	0	11
0	0	1	0
20	20	0	19
20	20	0	19
20	10	0	4
113	27	0	10
6	6	0	0
59	35	0	26
0	0	0	0
68	22	0	9
226	160	0	53
15	15	0	1
0	0	1	0
17	9	0	1
0	0	1	0
0	0	1	0
27	6	2	1
132	6	0	1
17	8	0	0
19	6	0	3
87	27	0	2
2317	252	0	136
88	21	0	8
280	40	0	36
24	5	0	1
11	4	0	1
37	11	0	0
0	0	1	0
0	0	1	0
37	10	0	5
0	0	1	0
75	1	0	7
16	6	0	0
42	24	0	16
28	18	3	60
278	29	1	30
0	0	1	0
0	0	1	0
0	0	1	0
0	0	3	0
0	0	1	0
0	0	1	0
0	0	1	0
41	10	0	0
41	12	0	7
1124	728	0	114
501	66	0	30
26	12	0	3
853	648	1	155
9	9	0	0
1107	899	0	165
33	33	0	14
3291	1717	2	494
72	64	0	41
56	46	0	47
56	35	0	18
13	4	0	0
20	14	0	3
435	101	1	30
188	50	0	11
38	6	0	0
0	0	1	0
17	15	0	6
7	4	0	0
0	0	1	0
0	0	1	0
237	7	0	7
269	29	0	31
57	5	0	10
21	2	0	2
8	8	0	2
61	28	0	35
58	19	0	46
0	0	1	0
15	4	0	8
91	11	0	0
21	21	0	1
51	33	0	2
49	7	0	0
3	3	0	0
32	14	0	2
0	0	1	0
32	6	0	1
41	37	0	9
0	0	1	0
0	0	1	0
0	0	1	0
24	10	0	5
85	8	0	5
129	115	0	42
887	601	1	204
58	37	0	30
59	21	0	4
66	10	0	24
140	17	0	14
418	170	0	96
188	58	1	33
22	11	0	11
18	18	0	17
1	1	1	0
0	0	2	0
0	0	1	0
9	6	0	26
0	0	1	0
6	0	1	0
1	1	2	3
0	0	1	0
0	0	1	0
69	23	0	4
213	10	1	3
643	544	0	23
372	293	0	42
0	0	1	0
0	0	1	0
16	7	0	0
5	5	0	2
101	40	1	17
0	0	2	0
27	17	0	0
9	9	0	7
15	10	0	0
9	9	0	0
0	0	1	1
7	7	0	0
33	7	3	17
8	8	0	0
6	6	0	0
17	6	0	4
46	16	0	0
49	2	0	0
0	0	1	0
25	9	0	10
16	16	0	0
24	23	0	0
124	24	0	0
38	15	0	0
280	50	0	1
63	25	0	0
34	16	0	0
16	16	0	0
0	0	1	0
0	0	1	0
70	57	0	1
8	7	0	0
59	11	0	0
176	14	0	0
7	7	0	0
29	13	0	0
38	9	0	0
29	12	0	1
31	17	0	1
18	4	0	0
33	5	0	0
33	24	0	0
30	27	0	1
24	10	0	2
9	9	0	0
211	53	0	1
48	16	0	0
71	15	0	0
92	67	0	0
7	7	0	1
15	15	0	2
12	12	0	2
25	9	0	0
140	26	0	0
27	13	0	0
32	10	0	0
405	349	0	8
27	27	0	0
5	5	0	0
7	7	0	0
56	52	0	50
31	4	0	0
6	6	0	0
17	9	0	0
5	5	0	0
26	26	0	0
11	11	0	0
46	26	0	0
202	25	0	1
0	0	1	0
24	9	0	2
2	2	0	0
136	9	0	10
0	0	1	0
0	0	1	0
0	0	3	0
1	1	1	0
0	0	1	0
0	0	1	0
0	0	1	0
2	2	1	0
0	0	2	0
0	0	1	0
0	0	1	0
0	0	1	0
16	7	0	0
141	13	0	6
112	9	0	6
27	18	0	3
9	9	0	7
20	20	0	14
0	0	1	0
10	5	0	0
0	0	1	0
211	9	0	11
62	16	0	2
48	40	0	5
27	16	0	2
26	16	0	7
26	10	0	22
29	1	0	2
160	35	0	6
142	120	0	48
389	227	0	71
0	0	1	0
0	0	1	0
0	0	1	0
0	0	1	0
7	7	0	7
0	0	1	0
28	6	0	0
28	22	0	18
135	21	0	4
27	9	0	1
26	12	0	1
14	14	0	3
33	4	0	0
33	20	0	3
19	12	0	1
153	19	0	3
75	23	0	2
27	27	0	0
24	8	0	2
0	0	1	0
0	0	5	2
8	6	0	8
56	12	1	8
17	11	0	8
10	10	0	4
115	58	1	45
55	55	0	36
14	11	0	2
19	14	0	4
61	11	0	9
64	42	0	47
30	23	0	8
160	84	0	50
49	40	0	37
28	20	1	18
57	32	0	35
143	118	0	10
146	28	0	21
19	15	0	1
360	311	1	88
72	36	1	12
92	16	0	6
123	10	0	0
0	0	1	0
1	1	0	0
0	0	2	0
7	7	0	0
23	7	0	0
21	13	0	0
27	9	0	0
118	27	0	0
53	6	0	0
32	6	0	0
19	7	0	0
18	18	0	1
0	0	2	0
21	9	0	0
0	0	1	0
48	41	0	6
6	6	0	0
38	6	0	0
17	17	0	2
37	22	0	1
60	11	0	0
0	0	1	0
40	12	0	0
11	11	0	2
8	8	0	0
17	12	0	0
4	4	1	1
18	18	0	8
27	8	0	0
15	15	0	2
14	8	0	0
8	8	0	0
109	12	0	3
15	6	0	7
37	4	0	1
40	40	0	6
0	0	1	0
1	1	1	0
118	16	0	0
557	152	0	18
9	9	0	0
0	0	1	0
0	0	0	0
64	15	0	0
0	0	1	0
8	7	0	7
12	12	0	3
14	6	0	1
59	5	0	6
46	13	0	2
0	0	1	0
140	127	0	20
1	1	2	0
132	23	0	9
672	453	2	670
249	37	1	32
0	0	2	0
55	21	0	7
0	0	1	0
0	0	3	0
0	0	1	0
0	0	1	0
0	0	1	0
36	14	0	0
33	5	0	0
3	3	3	10
1	1	1	0
11	11	0	0
0	0	1	0
33	20	0	1
0	0	1	0
7	7	0	0
59	53	0	0
45	32	0	1
167	137	1	0
93	34	0	2
365	36	0	0
17	8	0	0
23	23	0	0
23	13	0	0
5	5	0	0
24	4	0	0
4	4	0	0
33	4	0	6
13	8	0	0
31	13	0	2
23	22	1	0
0	0	2	0
17	3	0	0
3	3	0	0
0	0	1	0
12	4	1	5
0	0	1	0
0	0	1	0
0	0	1	0
0	0	1	0
0	0	1	0
0	0	1	0
172	6	0	0
0	0	1	0
0	0	1	0
0	0	1	0
0	0	1	0
10	6	0	8
229	16	0	16
15	6	0	6
36	5	0	4
78	69	0	1
37	1	0	0
534	131	0	0
14	5	0	0
17	7	0	0
21	11	0	0
41	13	0	0
197	19	0	0
10	10	0	0
21	21	0	0
23	7	0	0
31	13	0	0
7	7	0	0
50	21	0	0
77	54	0	1
47	6	0	0
41	24	0	0
30	5	0	0
265	55	0	0
12	9	0	0
47	22	0	0
12	12	0	0
33	27	0	0
46	2	0	0
56	19	0	0
30	18	0	0
11	5	0	0
12	12	0	0
179	108	1	18
48	16	0	16
9	9	0	0
11	11	0	1
18	5	0	0
27	15	0	3
180	160	1	0
77	21	0	0
190	75	0	3
43	15	0	2
6	6	0	1
53	8	0	3
10	10	0	1
0	0	1	0
0	0	2	0
0	0	1	0
0	0	1	0
0	0	1	0
10	10	0	1
11	6	0	1
9	9	0	0
41	33	0	1
0	0	1	0
177	141	0	45
38	24	0	7
18	14	0	5
367	16	0	8
16	4	0	0
41	10	0	1
0	0	1	0
0	0	2	0
0	0	1	0
0	0	2	0
0	0	1	1
0	0	1	0
21	5	0	0
22	4	0	0
30	5	0	1
33	16	0	17
0	0	1	0
13	7	0	3
64	57	2	54
85	40	0	37
43	17	0	2
65	17	0	1
11	4	0	12
18	9	0	6
16	8	0	9
437	146	3	93
114	40	0	4
27	14	0	7
51	35	1	11
0	0	2	0
62	7	0	142
33	0	1	372
4	4	1	2
8	4	0	8
271	14	0	19
24	8	0	29
0	0	1	8
43	1	0	92
27	4	1	13
74	1	0	213
107	17	0	16
179	25	0	15
52	37	1	7
115	12	0	8
12	8	0	17
52	13	0	6
15	9	1	8
145	141	1	181
0	0	1	0
21	12	0	6
38	7	1	30
15	4	1	5
11	5	0	16
18	18	1	22
18	13	0	41
0	0	1	3
0	0	2	0
0	0	0	0
1	1	1	0
2	0	1	0
0	0	1	1
31	31	0	3
3	3	1	0
23	8	0	0
55	3	0	0
10	9	0	0
61	18	0	4
5	5	0	0
2	1	1	0
93	36	0	5
8	8	0	0
19	3	0	0
10	3	0	0
91	61	0	50
470	404	3	793
98	78	1	9
20	11	0	7
131	7	0	14
197	79	0	9
15	4	0	0
32	7	0	1
41	15	0	1
41	14	0	0
67	10	0	0
7	7	0	0
13	7	0	6
3	3	0	0
66	16	0	22
64	51	1	18
424	57	0	17
45	31	1	11
24	15	0	19
32	5	0	0
11	10	0	6
19	12	0	0
11	11	0	0
9	5	0	0
125	75	0	47
103	12	0	0
3	0	2	0
12	12	0	3
0	0	1	0
0	0	2	0
20	5	0	0
50	8	0	0
48	10	0	3
15	14	0	5
17	3	0	0
33	14	0	3
393	31	0	3
8	8	0	0
0	0	1	0
551	285	0	75
21	12	0	0
128	123	0	0
150	11	0	4
31	16	0	3
835	129	0	40
0	0	0	1
368	245	0	10
46	6	0	6
29	29	0	15
270	182	0	63
221	165	0	64
87	76	0	93
26	19	0	17
119	75	0	36
182	135	1	49
620	128	3	100
4	3	1	3
822	92	2	68
127	15	0	18
25	25	0	4
21	6	0	0
0	0	1	0
31	7	0	0
7	5	0	0
98	15	0	0
197	164	0	0
35	8	0	0
21	9	0	0
16	4	0	0
8	8	0	0
63	14	0	0
185	12	0	0
69	4	0	0
114	107	0	7
0	0	1	0
0	0	1	0
0	0	1	0
0	0	1	0
1	1	0	623
0	0	0	84
0	0	0	118
0	0	1	0
0	0	1	2
20	10	0	0
120	15	0	1
308	33	0	1
337	16	0	3
13	13	0	2
21	3	0	0
57	1	1	0
178	17	0	0
59	46	0	3
32	32	0	48
0	0	1	4
42	8	0	0
48	24	0	4
36	9	0	0
0	0	1	0
23	23	0	3
14	14	0	6
69	46	0	21
37	11	0	6
83	73	0	120
500	84	0	45
418	47	0	24
484	58	1	32
17	7	0	0
71	4	0	0
66	17	0	3
207	26	0	8
73	10	0	0
0	0	1	0
0	0	1	0
11	2	0	4
40	8	1	6
12	12	0	17
8	8	0	0
73	55	0	12
12	12	0	32
88	48	1	51
0	0	0	0
0	0	1	0
5	5	0	0
0	0	1	0
7	7	0	181
7	7	0	163
18	18	0	4
45	9	0	6
1	1	1	0
14	4	0	3
8	6	0	6
47	15	0	2
1386	700	1	94
1100	574	0	41
530	158	1	37
635	98	0	12
6	1	0	0
33	18	0	4
166	32	0	4
26	26	0	22
38	7	0	5
11	11	0	13
76	15	0	72
118	98	0	192
30	15	0	3
21	11	0	6
16	7	0	2
16	8	0	14
41	36	0	9
18	10	0	25
0	0	1	0
16	4	0	0
27	27	0	0
15	15	0	0
44	4	0	0
58	10	0	0
7	7	0	0
7	5	0	1
9	9	0	0
6	6	0	0
0	0	1	0
0	0	1	0
0	0	1	0
0	0	1	1
0	0	0	142
0	0	1	0
1	1	0	113
0	0	0	90
0	0	0	82
0	0	0	312
150	94	2	745
2	2	0	71
0	0	1	0
23	20	0	5
73	9	0	0
45	11	1	0
642	381	1	228
354	39	0	27
22	17	0	8
6	6	0	6
30	18	0	12
47	47	0	0
0	0	1	0
7	7	0	0
30	9	0	0
63	40	0	26
0	0	1	1
10	7	0	4
0	0	1	0
38	8	0	4
227	189	0	53
71	34	0	26
44	15	0	2
117	92	0	46
8	5	0	3
25	15	0	2
302	118	0	53
2	2	0	2
24	9	0	3
4	4	0	0
274	117	0	28
40	5	0	0
707	36	0	0
16	16	0	0
25	4	0	0
21	21	0	0
26	8	0	0
0	0	1	0
0	0	1	0
30	20	0	5
67	28	0	6
5	5	0	0
11	11	0	2
86	22	0	8
11	6	0	2
39	21	0	2
56	14	0	14
28	6	0	1
421	100	0	48
158	5	0	6
160	80	0	24
18	9	0	2
9	9	0	4
92	86	0	25
7	7	0	1
14	3	0	0
17	3	1	0
28	18	0	0
27	27	0	0
94	14	0	15
16	6	1	2
75	24	0	2
15	9	0	14
18	14	0	5
0	0	1	0
0	0	2	0
14	8	0	0
0	0	1	0
21	10	0	58
14	3	0	0
54	1	0	0
81	14	0	0
281	205	0	112
19	19	0	28
72	17	0	11
7	7	0	9
12	12	0	8
18	8	0	10
108	82	0	71
48	29	0	8
0	0	1	0
45	11	0	13
33	19	0	63
63	16	0	26
0	0	1	0
0	0	1	0
15	8	1	4
0	0	1	0
1	1	3	1
0	0	1	0
0	0	1	0
16	16	0	9
7	5	0	4
10	10	0	0
12	12	0	30
23	0	1	0
0	0	1	0
55	4	0	4
190	7	0	3
31	17	0	4
139	115	0	5
19	16	0	4
45	5	0	0
16	7	0	0
94	8	0	0
28	16	0	0
42	26	0	1
9	9	0	0
34	7	0	0
22	2	0	0
44	21	0	0
65	24	0	0
246	215	0	8
13	5	0	0
83	10	0	0
11	4	0	0
15	5	0	6
35	7	0	3
41	15	0	0
19	15	0	4
18	5	0	0
11	11	0	0
8	5	0	2
25	1	1	0
199	166	0	30
6	6	0	1
0	0	1	0
0	0	3	0
2	2	1	0
0	0	1	0
22	17	1	14
0	0	3	0
0	0	1	1
0	0	0	72
0	0	1	0
0	0	1	0
1	1	1	2
0	0	1	0
15	4	0	0
8	8	0	1
18	10	0	0
19	10	0	1
20	9	0	0
59	40	0	4
0	0	1	0
3	3	1	1
0	0	1	0
5	5	0	81
26	17	0	1
50	22	1	2
70	14	0	6
50	7	0	11
65	9	0	5
240	152	0	109
28	19	0	0
52	14	0	0
19	4	0	4
0	0	1	0
0	0	1	0
13	12	0	0
37	22	0	0
28	4	0	0
5	5	0	1
51	41	1	4
14	9	0	0
9	9	0	0
24	4	0	2
115	37	0	12
254	218	0	188
17	16	0	5
0	0	1	0
0	0	1	0
7	7	0	1
10	10	0	0
39	1	0	0
26	17	0	0
114	15	0	0
49	23	0	0
22	9	0	0
72	6	0	0
8	8	0	0
51	51	0	2
6	3	0	0
123	43	0	22
13	13	0	12
0	0	2	0
74	55	0	13
60	15	0	2
31	7	0	1
95	57	0	5
8	8	0	0
29	29	0	1
163	8	0	0
62	17	1	0
56	3	0	0
108	14	0	2
42	20	0	0
23	23	0	0
94	16	0	0
43	24	0	0
20	5	0	0
19	19	0	1
13	7	0	0
44	19	0	1
8	8	0	0
37	3	0	0
6	6	0	1
21	18	0	4
39	21	0	1
104	15	0	1
18	13	0	0
25	3	0	0
8	8	0	2
45	31	0	7
141	58	0	0
9	6	0	1
844	118	0	5
275	38	0	0
37	13	0	1
114	73	0	1
12	12	0	0
13	13	0	0
51	16	0	0
87	20	0	1
13	3	0	0
6	6	0	5
16	15	1	13
165	66	1	36
58	9	0	8
194	31	1	14
192	41	0	56
586	226	1	282
580	72	0	52
97	81	0	60
203	177	0	172
619	47	0	24
115	67	0	20
35	28	0	15
255	55	0	34
74	16	0	3
23	13	0	17
13	9	0	1
85	50	0	23
27	27	0	16
289	178	0	74
175	60	0	9
44	35	0	12
9	9	0	4
21	21	0	4
25	25	0	1
79	41	0	16
27	24	0	37
48	12	0	0
60	60	0	8
71	28	0	1
34	15	0	1
285	57	0	7
234	109	1	4
16	13	0	0
57	8	0	2
42	31	0	8
20	10	0	4
33	3	0	0
40	15	0	1
21	14	0	0
11	11	0	0
5	1	1	0
0	0	1	0
19	13	0	1
33	23	0	4
35	28	0	1
0	0	0	0
19	16	0	0
1	1	1	2
15	15	0	22
20	9	0	7
31	12	0	0
15	9	0	1
6	0	1	0
0	0	2	0
16	5	0	0
60	11	0	6
76	14	0	4
0	0	1	0
583	424	2	170
101	66	0	8
0	0	1	0
56	13	1	1
24	4	0	1
3153	2098	0	495
36	20	0	0
29	14	0	2
28	13	0	1
44	26	0	12
395	36	0	15
45	31	0	4
48	15	0	11
7	7	0	0
3	3	0	0
21	7	0	3
34	8	0	1
97	23	0	2
28	15	0	7
46	46	0	1
46	22	0	1
15	15	0	0
22	15	0	0
31	2	0	0
447	38	1	10
6	6	0	9
12	4	0	1
16	6	0	0
13	13	0	0
34	7	1	0
35	29	0	20
51	7	0	0
8	8	0	13
31	16	0	1
0	0	1	0
50	7	0	0
92	22	0	0
30	17	0	15
27	14	0	10
1	0	1	0
38	19	0	6
0	0	1	0
97	15	0	1
21	11	0	0
41	4	0	0
0	0	1	0
26	4	0	4
0	0	1	0
0	0	1	0
100	17	1	3
219	46	0	10
114	7	0	4
11	11	0	6
5	5	0	0
76	34	0	20
71	47	1	3
11	4	0	4
19	12	0	2
171	125	0	42
878	277	0	110
233	80	0	42
92	33	0	6
34	17	0	4
0	0	1	0
63	13	0	5
0	0	1	0
0	0	1	0
2	1	1	0
0	0	1	0
0	0	2	0
207	14	0	4
25	10	0	4
58	21	0	8
18	18	0	12
330	97	1	27
3	3	1	6
331	238	0	75
0	0	1	0
48	45	0	12
0	0	1	0
24	24	0	2
152	38	0	17
10	10	0	0
14	14	0	1
11	2	0	2
44	44	0	1
0	0	1	0
9	9	0	0
19	2	0	0
16	8	0	0
347	45	0	5
0	0	1	0
